Technology,Scenario,Year,Learning_rate,TRL,Scale
RWGS_FT,Base,2024,0.05,7,0.1
RWGS_FT,Base,2030,0.05,8,2
RWGS_FT,Base,2050,0.05,9,20
RWGS_MeOH,2degree,2024,0.1,7,0.1
RWGS_MeOH,2degree,2030,0.1,9,3
RWGS_MeOH,2degree,2050,0.1,9,41
RWGS_MeOH,1.5degree,2024,0.15,7,0.1
RWGS_MeOH,1.5degree,2030,0.15,9,8
RWGS_MeOH,1.5degree,2050,0.15,9,71
RWGS_MeOH,Base,2024,0.05,7,0.1
RWGS_MeOH,Base,2030,0.05,8,1
RWGS_MeOH,Base,2050,0.05,9,10
HTL,2degree,2024,0.08,8,0.001
HTL,2degree,2030,0.08,9,0.2
HTL,2degree,2050,0.08,9,2
HTL,1.5degree,2024,0.13,8,0.001
HTL,1.5degree,2030,0.13,9,0.5
HTL,1.5degree,2050,0.13,9,5
HTL,Base,2024,0.03,8,0.001
HTL,Base,2030,0.03,9,0.03
HTL,Base,2050,0.03,9,0.2
HVO,2degree,2024,0.1,7,0.23
HVO,2degree,2030,0.1,9,1.4
HVO,2degree,2050,0.1,9,3.83
HVO,1.5degree,2024,0.15,7,0.23
HVO,1.5degree,2030,0.15,9,2.37
HVO,1.5degree,2050,0.15,9,4.23
HVO,Base,2024,0.05,7,0.23
HVO,Base,2030,0.05,8,0.6
HVO,Base,2050,0.05,9,1.47
B_PYR,2degree,2024,0.1,5,0.13
B_PYR,2degree,2030,0.1,7,1.4
B_PYR,2degree,2050,0.1,9,3.83
B_PYR,1.5degree,2024,0.15,5,0.13
B_PYR,1.5degree,2030,0.15,9,2.37
B_PYR,1.5degree,2050,0.15,9,4.23
B_PYR,Base,2024,0.05,5,0.13
B_PYR,Base,2030,0.05,6,0.6
B_PYR,Base,2050,0.05,9,1.47
PTM,2degree,2024,0.1,7,1
PTM,2degree,2030,0.1,9,6
PTM,2degree,2050,0.1,9,83
PTM,1.5degree,2024,0.15,7,1
PTM,1.5degree,2030,0.15,9,16
PTM,1.5degree,2050,0.15,9,142
PTM,Base,2024,0.05,7,1
PTM,Base,2030,0.05,8,2
PTM,Base,2050,0.05,9,4
AD,2degree,2024,0.1,7,12.5
AD,2degree,2030,0.1,9,67.5
AD,2degree,2050,0.1,9,245
AD,1.5degree,2024,0.15,7,12.5
AD,1.5degree,2030,0.15,9,130
AD,1.5degree,2050,0.15,9,295
AD,Base,2024,0.05,7,12.5
AD,Base,2030,0.05,8,25
AD,Base,2050,0.05,9,142.5
HB,2degree,2024,0.08,9,180
HB,2degree,2030,0.08,9,210
HB,2degree,2050,0.08,9,230
HB,1.5degree,2024,0.13,9,180
HB,1.5degree,2030,0.13,9,210
HB,1.5degree,2050,0.13,9,230
HB,Base,2024,0.03,9,180
HB,Base,2030,0.03,9,220
HB,Base,2050,0.03,9,250
DAC,2degree,2024,0.08,5,0.01
DAC,2degree,2030,0.08,7,10
DAC,2degree,2050,0.08,9,120
DAC,1.5degree,2024,0.13,5,0.01
DAC,1.5degree,2030,0.13,9,60
DAC,1.5degree,2050,0.13,9,500
DAC,Base,2024,0.05,5,0.01
DAC,Base,2030,0.05,6,1
DAC,Base,2050,0.05,9,10
