Iraq,IRQ,GDP (current US$),2.79641E+11
Iceland,ISL,GDP (current US$),33462807983
Israel,ISR,GDP (current US$),5.4038E+11
Italy,ITA,GDP (current US$),2.37277E+12
Jamaica,JAM,GDP (current US$),19930288337
Jordan,JOR,GDP (current US$),53352289577
Japan,JPN,GDP (current US$),4.02621E+12
Kazakhstan,KAZ,GDP (current US$),2.88406E+11
Kenya,KEN,GDP (current US$),1.24499E+11
Kyrgyz Republic,KGZ,GDP (current US$),17478259659
Cambodia,KHM,GDP (current US$),46352647035
Kiribati,KIR,GDP (current US$),307862546.8
St. Kitts and Nevis,KNA,GDP (current US$),1066681481
"Korea, Rep.",KOR,GDP (current US$),
Kuwait,KWT,GDP (current US$),1.60227E+11
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),6.14637E+12
Lao PDR,LAO,GDP (current US$),16502933121
Lebanon,LBN,GDP (current US$),
Liberia,LBR,GDP (current US$),4750000000
Libya,LBY,GDP (current US$),46636278902
St. Lucia,LCA,GDP (current US$),2549062963
Latin America & Caribbean,LCN,GDP (current US$),7.31363E+12
Least developed countries: UN classification,LDC,GDP (current US$),1.57417E+12
Low income,LIC,GDP (current US$),4.66542E+11
Liechtenstein,LIE,GDP (current US$),
Sri Lanka,LKA,GDP (current US$),98963185510
Lower middle income,LMC,GDP (current US$),7.85749E+12
Low & middle income,LMY,GDP (current US$),3.92169E+13
Lesotho,LSO,GDP (current US$),2271541846
Late-demographic dividend,LTE,GDP (current US$),2.99107E+13
Lithuania,LTU,GDP (current US$),84869215513
Luxembourg,LUX,GDP (current US$),93197329012
Latvia,LVA,GDP (current US$),43520773851
"Macao SAR, China",MAC,GDP (current US$),50183212761
St. Martin (French part),MAF,GDP (current US$),
Morocco,MAR,GDP (current US$),1.54431E+11
Monaco,MCO,GDP (current US$),
Moldova,MDA,GDP (current US$),18200340854
Madagascar,MDG,GDP (current US$),17420814801
Maldives,MDV,GDP (current US$),6975146349
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP (current US$),5.02577E+12
Mexico,MEX,GDP (current US$),1.85272E+12
Marshall Islands,MHL,GDP (current US$),280357844.2
Middle income,MIC,GDP (current US$),3.87483E+13
North Macedonia,MKD,GDP (current US$),16685236492
Mali,MLI,GDP (current US$),26588067731
Malta,MLT,GDP (current US$),24322006608
Myanmar,MMR,GDP (current US$),74079772652
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP (current US$),2.15357E+12
Montenegro,MNE,GDP (current US$),8069536126
Mongolia,MNG,GDP (current US$),23586055802
Northern Mariana Islands,MNP,GDP (current US$),
Mozambique,MOZ,GDP (current US$),22416650343
Mauritania,MRT,GDP (current US$),10766731874
Mauritius,MUS,GDP (current US$),14952555415
Malawi,MWI,GDP (current US$),11008925323
Malaysia,MYS,GDP (current US$),4.21972E+11
North America,NAC,GDP (current US$),3.14351E+13
Namibia,NAM,GDP (current US$),13372354269
New Caledonia,NCL,GDP (current US$),
Niger,NER,GDP (current US$),19537639288
Nigeria,NGA,GDP (current US$),1.8776E+11
Nicaragua,NIC,GDP (current US$),19693982968
Netherlands,NLD,GDP (current US$),1.22754E+12
Norway,NOR,GDP (current US$),4.83727E+11
Nepal,NPL,GDP (current US$),42914268287
Nauru,NRU,GDP (current US$),160350639.5
New Zealand,NZL,GDP (current US$),2.60236E+11
OECD members,OED,GDP (current US$),6.76871E+13
Oman,OMN,GDP (current US$),1.06943E+11
Other small states,OSS,GDP (current US$),2.0579E+11
Pakistan,PAK,GDP (current US$),3.73072E+11
Panama,PAN,GDP (current US$),86260400000
Peru,PER,GDP (current US$),2.89222E+11
Philippines,PHL,GDP (current US$),4.61618E+11
Palau,PLW,GDP (current US$),
Papua New Guinea,PNG,GDP (current US$),32538480024
Poland,POL,GDP (current US$),9.14696E+11
Pre-demographic dividend,PRE,GDP (current US$),1.4269E+12
Puerto Rico (US),PRI,GDP (current US$),1.25842E+11
"Korea, Dem. People's Rep.",PRK,GDP (current US$),
Portugal,PRT,GDP (current US$),3.08683E+11
Paraguay,PRY,GDP (current US$),44458118400
West Bank and Gaza,PSE,GDP (current US$),13711100000
Pacific island small states,PSS,GDP (current US$),11977251414
Post-demographic dividend,PST,GDP (current US$),6.30406E+13
French Polynesia,PYF,GDP (current US$),
Qatar,QAT,GDP (current US$),2.17983E+11
Romania,ROU,GDP (current US$),3.82768E+11
Russian Federation,RUS,GDP (current US$),2.17384E+12
Rwanda,RWA,GDP (current US$),14251642231
South Asia,SAS,GDP (current US$),4.51492E+12
Saudi Arabia,SAU,GDP (current US$),1.23753E+12
Sudan,SDN,GDP (current US$),49909807030
Senegal,SEN,GDP (current US$),32267254425
Singapore,SGP,GDP (current US$),5.47387E+11
Solomon Islands,SLB,GDP (current US$),1760767447
Sierra Leone,SLE,GDP (current US$),7547843281
El Salvador,SLV,GDP (current US$),35364960000
San Marino,SMR,GDP (current US$),
Somalia,SOM,GDP (current US$),12108515110
Serbia,SRB,GDP (current US$),89083506277
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1.74553E+12
South Sudan,SSD,GDP (current US$),
Sub-Saharan Africa,SSF,GDP (current US$),1.9577E+12
Small states,SST,GDP (current US$),3.09362E+11
Sao Tome and Principe,STP,GDP (current US$),764274042.7
Suriname,SUR,GDP (current US$),4714267822
Slovak Republic,SVK,GDP (current US$),1.41776E+11
Slovenia,SVN,GDP (current US$),72485008929
Sweden,SWE,GDP (current US$),6.10118E+11
Eswatini,SWZ,GDP (current US$),4891883720
Sint Maarten (Dutch part),SXM,GDP (current US$),1735210228
Seychelles,SYC,GDP (current US$),2167239562
Syrian Arab Republic,SYR,GDP (current US$),
Turks and Caicos Islands,TCA,GDP (current US$),1745378000
Chad,TCD,GDP (current US$),20625711665
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),2.22334E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),6.09788E+12
Togo,TGO,GDP (current US$),9925732120
Thailand,THA,GDP (current US$),5.26411E+11
Tajikistan,TJK,GDP (current US$),14204575549
Turkmenistan,TKM,GDP (current US$),64239891739
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),6.97749E+12
Timor-Leste,TLS,GDP (current US$),1881265333
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP (current US$),2.13986E+12
Tonga,TON,GDP (current US$),
South Asia (IDA & IBRD),TSA,GDP (current US$),4.51492E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1.9577E+12
Trinidad and Tobago,TTO,GDP (current US$),26428963758
Tunisia,TUN,GDP (current US$),53409988745
Turkiye,TUR,GDP (current US$),1.32325E+12
Tuvalu,TUV,GDP (current US$),
Tanzania,TZA,GDP (current US$),78779864877
Uganda,UGA,GDP (current US$),53651874314
Ukraine,UKR,GDP (current US$),1.90741E+11
Upper middle income,UMC,GDP (current US$),3.08918E+13
Uruguay,URY,GDP (current US$),80961511074
United States,USA,GDP (current US$),2.91849E+13
Uzbekistan,UZB,GDP (current US$),1.14965E+11
St. Vincent and the Grenadines,VCT,GDP (current US$),1157207407
"Venezuela, RB",VEN,GDP (current US$),
British Virgin Islands,VGB,GDP (current US$),
Virgin Islands (U.S.),VIR,GDP (current US$),
Viet Nam,VNM,GDP (current US$),4.76388E+11
Vanuatu,VUT,GDP (current US$),1161251868
World,WLD,GDP (current US$),1.11326E+14
Samoa,WSM,GDP (current US$),1068025244
Kosovo,XKX,GDP (current US$),11148602233
"Yemen, Rep.",YEM,GDP (current US$),
South Africa,ZAF,GDP (current US$),4.00261E+11
Zambia,ZMB,GDP (current US$),26325775287
Zimbabwe,ZWE,GDP (current US$),44187704410
